nomeBiblioteca	AssignmentExpression	ArrayExpression	BlockStatement	BinaryExpression	BreakStatement	CallExpression	CatchClause	ConditionalExpression	ContinueStatement	DoWhileStatement	DebuggerStatement	EmptyStatement	ExpressionStatement	ForStatement	ForInStatement	FunctionDeclaration	FunctionExpression	Identifier	IfStatement	Literal	LabeledStatement	LogicalExpression	MemberExpression	NewExpression	ObjectExpression	Property	ReturnStatement	SequenceExpression	SwitchStatement	SwitchCase	ThisExpression	ThrowStatement	TryStatement	UnaryExpression	UpdateExpression	VariableDeclaration	VariableDeclarator	WhileStatement	WithStatement	ArrayPattern	ObjectPattern	ArrowFunctionExpression	ClassExpression	TaggedTemplateExpression	Super	YieldExpression	AssignmentPattern	RestElement	MethodDefinition	TemplateElement	TemplateLiteral	SpreadElement	ForOfStatement
fable-arch	328	19	493	555	29	704	2	99	6	0	0	0	500	41	4	160	88	4714	243	1041	0	178	1238	56	42	68	302	8	10	66	166	28	2	163	47	330	345	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
fb0	28	4	29	31	1	27	0	0	0	0	0	2	44	2	0	2	16	238	23	34	0	4	123	3	10	8	17	0	0	0	54	0	0	18	2	10	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gitwrap	4	0	16	7	0	13	0	0	0	0	0	0	4	0	0	1	10	73	5	11	0	2	19	5	1	1	11	0	0	0	6	4	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ios-sim	29	4	101	17	0	140	2	0	1	0	0	0	106	0	1	8	40	666	41	110	0	4	227	0	12	26	18	0	0	0	1	2	2	13	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isexe	9	0	79	19	0	135	1	5	0	0	0	0	108	1	0	12	40	552	20	69	0	19	126	2	11	10	12	0	0	0	0	8	1	16	1	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lsbucket	9	1	31	17	0	58	3	0	0	0	0	0	41	2	0	2	13	249	8	67	0	2	91	2	3	4	9	0	0	0	11	1	3	17	2	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lucho-jarascript	7	1	25	16	0	96	0	3	0	0	0	0	59	1	0	3	13	255	7	93	0	2	101	0	6	18	4	0	0	0	10	0	0	3	1	16	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
media-parser	98	12	117	28	0	155	1	2	0	0	0	0	120	3	3	0	75	1001	28	294	0	10	342	2	22	77	82	3	0	0	17	0	1	7	4	41	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mvc-model	6	0	16	3	0	12	0	0	0	0	0	0	12	0	3	3	6	84	4	5	0	1	21	0	5	3	5	0	0	0	9	0	0	1	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ncallbacks	0	0	2	2	0	3	0	0	0	0	0	0	4	0	0	0	2	14	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
node-version-compare	6	1	22	7	0	46	0	1	0	0	0	0	26	1	0	3	12	123	5	57	0	0	40	0	0	0	8	0	0	0	0	0	0	8	1	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r0	10	4	39	41	1	78	0	0	0	0	0	0	41	6	0	10	9	383	14	86	0	1	117	0	10	46	6	0	0	0	6	0	0	1	8	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wbfs	226	46	478	223	7	841	5	14	2	0	0	1	465	16	4	50	201	3688	182	736	0	89	1212	57	69	111	245	6	4	35	203	11	5	102	21	188	209	1	0	0	4	67	0	0	0	56	0	0	0	130	62	0	0
ascli	16	1	11	27	0	16	0	2	0	0	0	0	19	3	0	2	5	131	6	37	0	3	42	0	0	0	4	0	0	0	1	0	0	3	4	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
binary-stream-replace	40	86	95	55	5	251	0	1	0	1	0	1	209	4	0	17	35	871	31	521	0	12	226	12	17	25	18	0	0	0	7	2	0	19	10	51	51	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caf_iot_cli	36	3	57	30	0	50	0	1	0	0	0	1	67	1	0	0	31	516	18	47	0	44	180	3	18	17	12	0	0	0	22	0	0	5	1	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coconut-graph	77	22	188	105	0	356	0	16	0	0	0	0	216	1	6	5	123	1543	46	337	0	19	692	6	46	94	57	0	0	0	136	3	0	16	3	77	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
csversion	5	1	29	32	0	101	0	0	0	0	0	0	56	0	0	4	15	295	6	84	0	5	95	0	4	12	1	0	0	0	0	0	0	2	0	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dynamic-dedupe	10	1	15	5	0	63	0	1	0	0	0	0	52	1	0	2	11	235	1	71	0	3	79	0	2	2	1	0	0	0	0	0	0	2	1	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enchanted	89	5	118	51	0	66	0	0	0	0	0	0	137	2	0	1	83	633	20	68	0	10	328	12	8	12	35	0	0	0	175	3	0	8	4	36	37	0	0	0	1	10	0	0	3	0	0	0	0	2	1	0	0
html-snapshots	11185	1802	10515	9880	122	27857	304	2746	14	17	0	1	9602	327	137	454	8107	155716	3431	33403	1	12448	50003	351	4018	8458	4909	6292	24	103	5847	133	305	7961	628	4969	10497	121	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
