trial;counter;index;instructionType;totalChars 
3;169;1047;Identifier;18311 
3;171;1050;Identifier;18309 
3;172;1055;Identifier;18307 
3;173;1059;Identifier;18305 
3;178;1091;Identifier;18303 
3;180;1102;Identifier;18301 
3;183;1129;Identifier;18299 
3;185;1138;Identifier;18297 
3;186;1134;Identifier;18295 
3;192;1185;Identifier;18293 
3;193;1185;Identifier;18291 
3;195;1197;Identifier;18289 
3;197;1204;Identifier;18287 
3;202;1245;Identifier;18284 
3;206;1277;Identifier;18282 
3;208;1285;Identifier;18280 
3;209;1282;Identifier;18278 
3;211;1299;Identifier;18276 
3;213;1304;Identifier;18274 
3;214;1309;Identifier;18272 
3;216;1312;Identifier;18270 
3;217;1319;Identifier;18268 
3;218;1313;Identifier;18266 
3;219;1316;Identifier;18264 
3;224;1359;Identifier;18262 
3;225;1354;Identifier;18260 
3;226;1355;Identifier;18258 
3;227;1355;Identifier;18256 
3;228;1355;Identifier;18254 
3;229;1354;Identifier;18252 
3;232;1371;Identifier;18250 
3;234;1389;Identifier;18246 
3;236;1397;Identifier;18245 
3;238;1405;Identifier;18243 
3;239;1405;Identifier;18241 
3;242;1420;Identifier;18239 
3;243;1423;Identifier;18237 
3;244;1421;Identifier;18235 
3;245;1420;Identifier;18233 
3;246;1421;Identifier;18231 
3;247;1420;Identifier;18229 
3;250;1442;Identifier;18227 
3;256;1491;Identifier;18223 
3;257;1497;Identifier;18221 
3;258;1496;Identifier;18219 
3;260;1502;Identifier;18217 
3;263;1525;Identifier;18215 
3;264;1525;Identifier;18213 
3;265;1525;Identifier;18211 
3;266;1527;Identifier;18209 
3;267;1525;Identifier;18207 
3;268;1526;Identifier;18205 
3;269;1525;Identifier;18203 
3;270;1523;Identifier;18201 
3;277;1585;Identifier;18199 
3;279;1591;Identifier;18197 
3;280;1590;Identifier;18195 
3;282;1608;Identifier;18193 
3;298;1756;Identifier;18191 
3;302;1785;Identifier;18189 
3;313;1888;Identifier;18187 
3;315;1895;Identifier;18185 
3;321;1945;Identifier;18183 
3;322;1948;Identifier;18181 
3;323;1941;Identifier;18179 
4;0;0;original;18323 
4;3;29;ExpressionStatement;18278 
4;5;39;ExpressionStatement;18223 
4;7;49;ExpressionStatement;18203 
4;8;49;ExpressionStatement;18190 
4;9;42;ExpressionStatement;18174 
4;10;48;ExpressionStatement;18163 
4;12;53;ExpressionStatement;18128 
4;13;59;ExpressionStatement;18078 
4;14;57;ExpressionStatement;18020 
4;16;63;ExpressionStatement;17986 
4;20;99;ExpressionStatement;17940 
4;21;97;ExpressionStatement;17931 
4;22;98;ExpressionStatement;17926 
4;23;98;ExpressionStatement;17913 
4;24;96;ExpressionStatement;17887 
4;25;97;ExpressionStatement;17839 
4;28;114;ExpressionStatement;17831 
4;30;125;ExpressionStatement;17807 
4;31;129;ExpressionStatement;17788 
4;33;136;ExpressionStatement;17750 
4;35;149;ExpressionStatement;17739 
4;36;149;ExpressionStatement;17716 
4;38;156;ExpressionStatement;17667 
4;39;155;ExpressionStatement;17640 
4;40;158;ExpressionStatement;17624 
4;41;150;ExpressionStatement;17598 
4;42;158;ExpressionStatement;17581 
4;43;159;ExpressionStatement;17563 
4;44;151;ExpressionStatement;17517 
4;45;159;ExpressionStatement;17499 
4;47;160;ExpressionStatement;17480 
4;48;160;ExpressionStatement;17453 
4;49;169;ExpressionStatement;17426 
4;50;163;ExpressionStatement;17399 
4;51;166;ExpressionStatement;17375 
4;52;166;ExpressionStatement;17356 
4;54;175;ExpressionStatement;17339 
4;55;178;ExpressionStatement;17315 
4;56;179;ExpressionStatement;17304 
4;57;170;ExpressionStatement;17277 
4;58;178;ExpressionStatement;17247 
4;59;177;ExpressionStatement;17219 
4;61;184;ExpressionStatement;17215 
4;62;184;ExpressionStatement;17209 
4;63;182;ExpressionStatement;17200 
4;64;182;ExpressionStatement;17194 
4;65;183;ExpressionStatement;17190 
4;66;183;ExpressionStatement;17184 
4;67;189;ExpressionStatement;17158 
4;68;188;ExpressionStatement;17133 
4;70;199;ExpressionStatement;17114 
4;100;28;Identifier;17106 
4;101;21;Identifier;17096 
4;102;26;Identifier;17096 
